Emp_ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
emp101,0.38,0.53,2,157,3,0,1,0,sales,low
emp102,0.8,0.86,5,262,6,0,1,0,sales,medium
emp103,0.11,0.88,7,272,4,0,1,0,sales,medium
emp104,0.72,0.87,5,223,5,0,1,0,sales,low
emp105,0.37,0.52,2,159,3,0,1,0,sales,low
emp106,0.41,0.5,2,153,3,0,1,0,sales,low
emp107,0.1,0.77,6,247,4,0,1,0,sales,low
emp108,0.92,0.85,5,259,5,0,1,0,sales,low
emp109,0.89,1,5,224,5,0,1,0,sales,low
emp110,0.42,0.53,2,142,3,0,1,0,sales,low
emp111,0.45,0.54,2,135,3,0,1,0,sales,low
emp112,0.11,0.81,6,305,4,0,1,0,sales,low
emp113,0.84,0.92,4,234,5,0,1,0,sales,low
emp114,0.41,0.55,2,148,3,0,1,0,sales,low
emp115,0.36,0.56,2,137,3,0,1,0,sales,low
emp116,0.38,0.54,2,143,3,0,1,0,sales,low
emp117,0.45,0.47,2,160,3,0,1,0,sales,low
emp118,0.78,0.99,4,255,6,0,1,0,sales,low
emp119,0.45,0.51,2,160,3,1,1,1,sales,low
emp120,0.76,0.89,5,262,5,0,1,0,sales,low
emp121,0.11,0.83,6,282,4,0,1,0,sales,low
emp122,0.38,0.55,2,147,3,0,1,0,sales,low
emp123,0.09,0.95,6,304,4,0,1,0,sales,low
emp124,0.46,0.57,2,139,3,0,1,0,sales,low
emp125,0.4,0.53,2,158,3,0,1,0,sales,low
emp126,0.89,0.92,5,242,5,0,1,0,sales,low
emp127,0.82,0.87,4,239,5,0,1,0,sales,low
emp128,0.4,0.49,2,135,3,0,1,0,sales,low
emp129,0.41,0.46,2,128,3,0,1,0,accounting,low
emp130,0.38,0.5,2,132,3,0,1,0,accounting,low
emp131,0.09,0.62,6,294,4,0,1,0,accounting,low
emp132,0.45,0.57,2,134,3,0,1,0,hr,low
emp133,0.4,0.51,2,145,3,0,1,0,hr,low
emp134,0.45,0.55,2,140,3,0,1,0,hr,low
emp135,0.84,0.87,4,246,6,0,1,0,hr,low
emp136,0.1,0.94,6,255,4,0,1,0,technical,low
emp137,0.38,0.46,2,137,3,0,1,0,technical,low
emp138,0.45,0.5,2,126,3,0,1,0,technical,low
emp139,0.11,0.89,6,306,4,0,1,0,technical,low
emp140,0.41,0.54,2,152,3,0,1,0,technical,low
emp141,0.87,0.88,5,269,5,0,1,0,technical,low
emp142,0.45,0.48,2,158,3,0,1,0,technical,low
emp143,0.4,0.46,2,127,3,0,1,0,technical,low
emp144,0.1,0.8,7,281,4,0,1,0,technical,low
emp145,0.09,0.89,6,276,4,0,1,0,technical,low
emp146,0.84,0.74,3,182,4,0,1,0,technical,low
emp147,0.4,0.55,2,147,3,0,1,0,support,low
emp148,0.57,0.7,3,273,6,0,1,0,support,low
emp149,0.4,0.54,2,148,3,0,1,0,support,low
emp150,0.43,0.47,2,147,3,0,1,0,support,low
emp151,0.13,0.78,6,152,2,0,1,0,support,low
emp152,0.44,0.55,2,135,3,0,1,0,support,low
emp153,0.38,0.55,2,134,3,0,1,0,support,low
emp154,0.39,0.54,2,132,3,0,1,0,support,low
emp155,0.1,0.92,7,307,4,0,1,0,support,low
emp156,0.37,0.46,2,140,3,0,1,0,support,low
emp157,0.11,0.94,7,255,4,0,1,0,support,low
emp158,0.1,0.81,6,309,4,0,1,0,technical,low
emp159,0.38,0.54,2,128,3,0,1,0,technical,low
emp160,0.85,1,4,225,5,0,1,0,technical,low
emp161,0.85,0.91,5,226,5,0,1,0,management,medium
emp162,0.11,0.93,7,308,4,0,1,0,IT,medium
emp163,0.1,0.95,6,244,5,0,1,0,IT,medium
emp164,0.36,0.56,2,132,3,0,1,0,IT,medium
emp165,0.11,0.94,6,286,4,0,1,0,IT,medium
emp166,0.81,0.7,6,161,4,0,1,0,IT,medium
emp167,0.43,0.54,2,153,3,0,1,0,product_mng,medium
emp168,0.9,0.98,4,264,6,0,1,0,product_mng,medium
emp169,0.76,0.86,5,223,5,1,1,0,product_mng,medium
emp170,0.43,0.5,2,135,3,0,1,0,product_mng,medium
emp171,0.74,0.99,2,277,3,0,1,0,IT,medium
emp172,0.09,0.77,5,275,4,0,1,0,product_mng,medium
emp173,0.45,0.49,2,149,3,0,1,0,product_mng,high
emp174,0.09,0.87,7,295,4,0,1,0,product_mng,low
emp175,0.11,0.97,6,277,4,0,1,0,product_mng,medium
emp176,0.11,0.79,7,306,4,0,1,0,product_mng,medium
emp177,0.1,0.83,6,295,4,0,1,0,product_mng,medium
emp178,0.4,0.54,2,137,3,0,1,0,marketing,medium
emp179,0.43,0.56,2,157,3,0,1,0,sales,low
emp180,0.39,0.56,2,142,3,0,1,0,accounting,low
emp181,0.45,0.54,2,140,3,0,1,0,support,low
emp182,0.38,0.49,2,151,3,0,1,0,technical,low
emp183,0.79,0.59,4,139,3,0,1,1,management,low
emp184,0.84,0.85,4,249,6,0,1,0,marketing,low
emp185,0.11,0.77,6,291,4,0,1,0,marketing,low
emp186,0.11,0.87,6,305,4,0,1,0,marketing,low
emp187,0.17,0.84,5,232,3,0,1,0,sales,low
emp188,0.44,0.45,2,132,3,0,1,0,sales,low
emp189,0.37,0.57,2,130,3,0,1,0,sales,low
emp190,0.1,0.79,6,291,4,0,1,0,sales,low
emp191,0.4,0.5,2,130,3,0,1,0,sales,low
emp192,0.89,1,5,246,5,0,1,0,sales,low
emp193,0.42,0.48,2,143,3,0,1,0,sales,low
emp194,0.46,0.55,2,129,3,0,1,0,sales,low
emp195,0.09,0.83,6,255,4,0,1,0,sales,low
emp196,0.37,0.51,2,155,3,0,1,0,sales,low
emp197,0.1,0.77,6,265,4,0,1,0,sales,low
emp198,0.1,0.84,6,279,4,0,1,0,sales,low
emp199,0.11,0.97,6,284,4,0,1,0,sales,low
emp200,0.9,1,5,221,6,0,1,0,sales,medium
emp201,0.38,0.52,2,154,3,0,1,0,sales,medium
emp202,0.36,0.52,2,147,3,0,1,0,sales,medium
emp203,0.42,0.46,2,150,3,0,1,0,sales,medium
emp204,0.09,0.94,7,267,4,0,1,0,sales,medium
emp205,0.43,0.52,2,158,3,0,1,0,sales,medium
emp206,0.24,0.46,7,224,5,0,1,0,accounting,medium
emp207,0.91,1,4,257,5,0,1,0,accounting,medium
emp208,0.44,0.5,2,148,3,0,1,0,accounting,medium
emp209,0.71,0.87,3,177,4,0,1,0,hr,medium
emp210,0.4,0.49,2,155,3,0,1,0,hr,medium
emp211,0.43,0.47,2,144,3,0,1,0,hr,medium
emp212,0.09,0.85,6,289,4,0,1,0,hr,high
emp213,0.43,0.52,2,160,3,0,1,0,technical,low
emp214,0.9,0.96,4,258,5,0,1,0,technical,medium
emp215,0.84,1,5,234,5,0,1,0,technical,medium
emp216,0.37,0.48,2,137,3,0,1,0,technical,medium
emp217,0.86,0.68,5,263,2,0,1,0,technical,medium
emp218,0.11,0.84,6,251,4,0,1,0,technical,low
emp219,0.37,0.57,2,133,3,0,1,0,technical,low
emp220,0.4,0.46,2,132,3,0,1,0,technical,low
emp221,0.14,0.62,4,158,4,1,1,0,technical,low
emp222,0.4,0.46,2,135,3,0,1,0,technical,low
emp223,0.75,1,4,216,6,0,1,0,technical,low
emp224,0.11,0.84,6,300,5,1,1,0,support,low
emp225,0.46,0.49,2,138,3,0,1,0,support,low
